,year,East Asia & Pacific,Indonesia,Malaysia,Singapore,Thailand,United States,Viet Nam,World,East Asia & Pacific %,Indonesia %,Malaysia %,Singapore %,Thailand %,United States %,Viet Nam %,World %,East Asia & Pacific GDP PPP,Indonesia GDP PPP,Malaysia GDP PPP,Singapore GDP PPP,Thailand GDP PPP,United States GDP PPP,Viet Nam GDP PPP,World GDP PPP
40,2000,8377349540465.25,165021012077.81,93789736842.1053,96076539925.7409,126392224253.794,10250947997000.0,31172518403.3162,33898969364124.9,5.39368451674144,4.92006774777576,8.85886816969386,9.03831632555163,4.45524704335014,4.07715947941618,6.78731640463151,4.52903920098606,5775.55435029964,4681.91945001153,13038.5347897317,43775.8726538541,7281.41278090251,36329.9560727102,2552.68284248843,8017.04088610176
41,2001,7789508076035.07,160446947784.909,92783947368.4211,89793790669.6515,120296476180.402,10581929774000.0,32685198808.5549,33689211605170.5,3.29912905566756,3.64346644786215,0.517675319192861,-1.07086275100448,3.44424900968372,0.954338728708379,6.19289331233377,2.02749819443821,6079.33628680066,4892.35251535142,13061.2604892083,43104.2827297039,7631.31933135173,37133.623113437,2743.48070704001,8294.83185632099
42,2002,7912757790984.25,195660611165.183,100845526315.789,92538372869.6942,134300904400.022,10929112955000.0,35064105500.8344,34982494436235.9,4.37733424856515,4.49947538889633,5.39098830692797,3.92336076702013,6.14903605210036,1.69594292274957,6.32082099160833,2.29871991199965,6451.62294291091,5121.33453984212,13632.5350241,45080.2663441014,8153.46133957634,37997.7596573051,2932.0631731049,8579.64874453067
43,2003,8702207399274.63,234772463823.808,110202368421.053,97646401095.6369,152280615245.887,11456442041000.0,39552513231.9169,39219228352258.7,4.94766185504065,4.78036912376109,5.7884992858875,4.54825542643229,7.18924330340971,2.7962091006717,6.89906349055258,3.10560021395519,6875.43363391304,5399.32871003071,14351.4149668154,48774.7247211609,8835.84690937088,39490.2749557007,3163.50958445082,8949.17994626881
44,2004,9758433473126.78,256836875295.452,124749473684.211,115033593101.049,172895685154.658,12217193198000.0,45427854693.2554,44195418733394.3,5.86777580031426,5.03087394494024,6.78343772370305,9.93998268434957,6.28934214285795,3.85255260064351,7.53641060890386,4.47149414152585,7459.47227320382,5749.52145141959,15367.4433996851,54377.3438540928,9564.79142547155,41724.6316287624,3457.79216364652,9552.25971398378
45,2005,10411317309554.8,285868619196.085,143534405818.501,127807848728.398,189318408468.595,13039199193000.0,57633255738.1992,47859243040872.5,5.8994111126824,5.69257130261316,5.33213916141486,7.36632239250758,4.18763842884337,3.48322032025258,7.54724772895918,4.00667776372401,8116.4335210096,6188.85553221385,16314.3091398153,58814.9144535567,10198.1601337386,44123.4070679055,3797.04585172195,10161.9116294238
46,2006,11034808224299.4,364570515618.357,162692258307.056,148627286361.351,221758296021.621,13815586948000.0,66371664817.0436,51862621936457.3,6.45398349522246,5.50095178537065,5.5848470671515,9.00676607871758,4.96781089246107,2.78281062584327,6.97795481056711,4.44015319931424,8909.94549376495,6643.88072205615,17364.5023802826,64054.2708632162,10952.1994143852,46302.0008800056,4146.95206074759,10990.1800989056
47,2007,12331154735962.7,432216737774.861,193549569477.733,180941701357.97,262942621455.053,14474226905000.0,77414425532.2452,58446784385014.8,7.46677817739527,6.34502222761846,6.29878592740947,9.02151951268893,5.43515169050809,2.01050755163328,7.12950448605439,4.37542905121782,9844.47189317744,7161.81072808175,18549.0271227554,68793.7097837442,11769.5250654664,48050.2237771135,4519.04511649778,11753.6393186959
48,2008,14220141864723.5,510228634990.598,230811614370.384,193617323539.203,291382982430.951,14769857911000.0,99130304099.1274,64227645495829.6,4.38531854839303,6.01370359922831,4.83176988913097,1.86348345462035,1.72569884866334,0.122188442974647,5.66177120891362,2.06370094052765,10466.8816968515,7638.00957527744,19408.6705311668,67718.4182987851,12111.3718519839,48570.0459804586,4819.01166958745,12292.5561753946
49,2009,14630626964216.5,539580085616.492,202257453036.641,194150283771.566,281710630187.319,14478064934000.0,106014659565.214,60885970983715.1,2.56043273917396,4.62887118346032,-1.51352871598714,0.127953382778088,-0.690618232300579,-2.59988835108558,5.39789754014181,-1.3646809340806,10847.7576724184,7941.16633276883,18860.4807172444,66212.3175147369,12018.1736292382,47194.9433547336,5059.34249970306,12240.4699849988
50,2010,17078044883355.3,755094157621.936,255017638455.59,239807980591.24,341104766329.17,15048964444000.0,147201173196.979,66707071764655.3,7.60985508493847,6.2238541798264,7.42484738326097,14.5197497108994,7.51339053261624,2.70885669419681,6.42324482239482,4.52780699270087,11776.8035602103,8430.61541737509,20146.9616228331,75389.7681763297,12988.9296804484,48650.6431283336,5391.16953830879,12887.5432480944
51,2011,19796911407672.4,892969104563.171,297951668674.835,279356499090.458,370818739623.622,15599728123000.0,172595049183.925,73965141177386.5,5.46170546387985,6.16978420771008,5.29391283414003,6.21493416858989,0.840132083053334,1.54989495017045,6.41316889681683,3.31697730294009,12665.6441643769,9022.72137960157,21308.2157821446,80052.3914982651,13284.1197845939,50065.9665041742,5793.92988887172,13574.426449495
52,2012,21174153362040.6,917869913332.649,314443047642.111,295092888076.589,397558325278.579,16253972230000.0,195590661129.249,75612548773168.6,5.18297062404042,6.03005065305615,5.47345419253853,4.43549759378537,7.24279620249642,2.28068760319185,5.5045447041189,2.69770422222682,13493.9448857606,9645.14919678524,22527.0010497572,82064.9611910836,14586.9066203666,51784.4185738837,6364.97847654573,14103.3461632226
53,2013,21411260037373.0,912524136718.018,323276235524.415,307576360584.992,420333654592.547,16843190993000.0,213708811665.34,77714723867935.6,5.24511395095809,5.5572636889101,4.69372252557893,4.81763099120676,2.68749556320556,1.84187539518688,5.55351081026072,2.799701732347,14187.077435215,10009.0106984785,22959.2017588422,83001.7878013707,15090.0983569568,53291.1276891406,6724.63489647222,14605.0959818677
54,2014,22089565874969.3,890814755533.537,338066095097.254,314863580758.455,407339040197.651,17550680174000.0,233451469642.519,79837156825125.5,4.75873967143461,5.006668425755,6.00672194558203,3.93554027709007,0.984468863619426,2.28777593255359,6.42224312118567,3.06700829835658,14699.4515206674,10233.985273926,24012.8250919123,84423.1913432675,15143.395726791,55123.8497869046,7240.73547087883,14970.1737517684
55,2015,21995286337605.6,860854232686.214,301355266964.947,307998545269.398,401296238228.084,18206020741000.0,239258328381.741,75283270551887.2,4.72833171558867,4.87632230022123,5.09153242155011,2.97679931634806,3.13404724911635,2.70636958176399,6.98715430598611,3.06959305611582,15114.3308975873,10219.1764136999,24164.9596770962,86974.7476230627,15466.7606332352,56762.7294515989,7595.68634299799,15107.9552812586
56,2016,22775818467016.9,931877364037.698,301256033870.334,319030057631.089,413366349747.508,18695110842000.0,257096001177.982,76518978973662.1,4.66012591396303,5.03306918280177,4.44978139761541,3.60165603913242,3.43515771692182,1.66747207596187,6.69000892660424,2.78675707906703,15616.4871060738,10482.6989966051,24864.0392388323,89495.0154493688,16231.25449294,57866.7449341091,8277.68412933014,15536.3798209226
57,2017,24329068203247.4,1015618744159.73,319109094160.343,343272878686.388,456356813536.764,19477336549000.0,281353605986.903,81484101071484.5,5.05464000036959,5.06978590134916,5.81272240983328,4.54472821784424,4.1776810321001,2.24192121597748,6.94019037359206,3.39605661618111,16337.9705022102,10941.9209510231,25935.1395225396,95334.1455686864,17008.0384242563,59907.7542608847,9050.68788675827,16185.9641877212
58,2018,26487849774769.5,1042271532988.63,358788845712.53,376869492498.009,506754208404.485,20533057312000.0,310106478394.659,86542678179037.4,4.76021910380931,5.17429153955024,4.84308697634881,3.57543271019112,4.22287028746071,2.9453848312678,7.46500685572751,3.27628312021918,17439.9834340009,11671.4323303214,27480.9549227598,100642.752176026,18093.8197834427,62823.3094381973,9867.66860767837,16991.3756389662
59,2019,27032674446875.7,1119099871350.2,365177721021.516,376837580397.579,543976691793.886,21380976119000.0,334365270496.667,87777403956338.7,3.96059103453933,5.01928768046282,4.41318742129586,1.33126132689951,2.11455779628278,2.29443907769311,7.35926270105006,2.59078545726159,18418.8652442715,12360.6917362653,28848.1008541329,102630.933142278,18760.4124030103,65120.3946628653,10686.8030202625,17720.3780051263
60,2020,27155249687649.4,1059054842698.48,337456163961.211,348392090695.217,500457264955.763,21060473613000.0,346615738537.796,85272676295874.0,-0.147498483311651,-2.06551182934165,-5.45684658426701,-3.90105340221118,-6.0669259685517,-2.76780251140578,2.86541320912272,-3.05780976669379,18631.3017895959,12160.7167616838,27300.2667960893,100226.36846454,17810.2507528433,63528.6343027508,11035.9995951674,17363.881585204
61,2021,31141271720840.7,1186505455736.54,373832428055.449,423797100521.555,505568063988.806,23315080560000.0,366137569122.215,97153181162291.0,6.21159058904495,3.70305535690933,3.29764100831838,8.88235399664532,1.49209523545821,5.94548476122172,2.56156410670985,6.22859396417259,20531.1902248818,13086.3924176102,29139.3704951624,118887.822065854,18855.0232726769,70219.472454115,11727.7962241758,19068.8419015126
62,2022,30712490177155.8,1319100220407.72,407027451714.616,466788426791.966,495423343049.622,25439700000000.0,408802378904.838,100879560825391.0,2.88087001553308,5.30859500543608,8.65034422372288,3.64697207108541,2.59764412586718,1.93563459187081,8.01979237442838,3.0893791250156,22542.9940179224,14657.7823368915,33525.3012498421,127606.814763458,20679.1194757004,76329.5822652032,13461.0089701732,20945.6713046336
